Season,RoundNumber,EventName,Location,Country,EventDate,SessionType
,1,Australian Grand Prix,Melbourne,Australia,2025-03-16,R
,1,Australian Grand Prix,Melbourne,Australia,2025-03-16,Q
,2,Chinese Grand Prix,Shanghai,China,2025-03-23,R
,2,Chinese Grand Prix,Shanghai,China,2025-03-23,Q
,2,Chinese Grand Prix,Shanghai,China,2025-03-23,SQ
,2,Chinese Grand Prix,Shanghai,China,2025-03-23,S
,3,Japanese Grand Prix,Suzuka,Japan,2025-04-06,R
,3,Japanese Grand Prix,Suzuka,Japan,2025-04-06,Q
,4,Bahrain Grand Prix,Sakhir,Bahrain,2025-04-13,R
,4,Bahrain Grand Prix,Sakhir,Bahrain,2025-04-13,Q
,5,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2025-04-20,R
,5,Saudi Arabian Grand Prix,Jeddah,Saudi Arabia,2025-04-20,Q
,6,Miami Grand Prix,Miami,United States,2025-05-04,R
,6,Miami Grand Prix,Miami,United States,2025-05-04,Q
,6,Miami Grand Prix,Miami,United States,2025-05-04,SQ
,6,Miami Grand Prix,Miami,United States,2025-05-04,S
,7,Emilia Romagna Grand Prix,Imola,Italy,2025-05-18,R
,7,Emilia Romagna Grand Prix,Imola,Italy,2025-05-18,Q
,8,Monaco Grand Prix,Monaco,Monaco,2025-05-25,R
,8,Monaco Grand Prix,Monaco,Monaco,2025-05-25,Q
,9,Spanish Grand Prix,Barcelona,Spain,2025-06-01,R
,9,Spanish Grand Prix,Barcelona,Spain,2025-06-01,Q
,10,Canadian Grand Prix,Montréal,Canada,2025-06-15,R
,10,Canadian Grand Prix,Montréal,Canada,2025-06-15,Q
,11,Austrian Grand Prix,Spielberg,Austria,2025-06-29,R
,11,Austrian Grand Prix,Spielberg,Austria,2025-06-29,Q
,12,British Grand Prix,Silverstone,United Kingdom,2025-07-06,R
,12,British Grand Prix,Silverstone,United Kingdom,2025-07-06,Q
,13,Belgian Grand Prix,Spa-Francorchamps,Belgium,2025-07-27,R
,13,Belgian Grand Prix,Spa-Francorchamps,Belgium,2025-07-27,Q
,13,Belgian Grand Prix,Spa-Francorchamps,Belgium,2025-07-27,SQ
,13,Belgian Grand Prix,Spa-Francorchamps,Belgium,2025-07-27,S
,14,Hungarian Grand Prix,Budapest,Hungary,2025-08-03,R
,14,Hungarian Grand Prix,Budapest,Hungary,2025-08-03,Q
,15,Dutch Grand Prix,Zandvoort,Netherlands,2025-08-31,R
,15,Dutch Grand Prix,Zandvoort,Netherlands,2025-08-31,Q
,16,Italian Grand Prix,Monza,Italy,2025-09-07,R
,16,Italian Grand Prix,Monza,Italy,2025-09-07,Q
,17,Azerbaijan Grand Prix,Baku,Azerbaijan,2025-09-21,R
,17,Azerbaijan Grand Prix,Baku,Azerbaijan,2025-09-21,Q
,18,Singapore Grand Prix,Marina Bay,Singapore,2025-10-05,R
,18,Singapore Grand Prix,Marina Bay,Singapore,2025-10-05,Q
,19,United States Grand Prix,Austin,United States,2025-10-19,R
,19,United States Grand Prix,Austin,United States,2025-10-19,Q
,19,United States Grand Prix,Austin,United States,2025-10-19,SQ
,19,United States Grand Prix,Austin,United States,2025-10-19,S
,20,Mexico City Grand Prix,Mexico City,Mexico,2025-10-26,R
,20,Mexico City Grand Prix,Mexico City,Mexico,2025-10-26,Q
,21,São Paulo Grand Prix,São Paulo,Brazil,2025-11-09,R
,21,São Paulo Grand Prix,São Paulo,Brazil,2025-11-09,Q
,21,São Paulo Grand Prix,São Paulo,Brazil,2025-11-09,SQ
,21,São Paulo Grand Prix,São Paulo,Brazil,2025-11-09,S
,22,Las Vegas Grand Prix,Las Vegas,United States,2025-11-22,R
,22,Las Vegas Grand Prix,Las Vegas,United States,2025-11-22,Q
,23,Qatar Grand Prix,Lusail,Qatar,2025-11-30,R
,23,Qatar Grand Prix,Lusail,Qatar,2025-11-30,Q
,23,Qatar Grand Prix,Lusail,Qatar,2025-11-30,SQ
,23,Qatar Grand Prix,Lusail,Qatar,2025-11-30,S
,24,Abu Dhabi Grand Prix,Yas Island,United Arab Emirates,2025-12-07,R
,24,Abu Dhabi Grand Prix,Yas Island,United Arab Emirates,2025-12-07,Q
